id_cliente,nome_cliente,regiao_cliente,idade_cliente,faixa_etaria
10001079389,Gabriela Tavares,SUL,71,Idoso
10008163460,Beatriz Rangel,SUDESTE,52,Adulto
10011999387,Clara Toledo,SUDESTE,58,Adulto
10021976563,José Brito,SUDESTE,40,Adulto
10027136369,Paula Antunes,NORDESTE,30,Adulto
10032607631,Amanda Gomes,CENTRO-OESTE,23,Jovem
10035025665,Felipe Bonfim,NORDESTE,47,Adulto
10035262931,Matheus Tavares,SUDESTE,19,Jovem
10042563331,Elisa Ribeiro,NORDESTE,30,Adulto
10047431702,Tatiana Pires,NORTE,51,Adulto
10052671950,Débora Peixoto,SUL,22,Jovem
10055171880,Beatriz Santana,SUDESTE,21,Jovem
10075317147,Fernando Aguiar,SUDESTE,18,Jovem
10075572626,Elis Freitas,NORDESTE,29,Jovem
10075838581,Renato Moraes,SUL,37,Adulto
10077676402,Heitor Rezende,SUDESTE,29,Jovem
10082503356,Bianca Souza,NORDESTE,51,Adulto
10088885069,Vinícius Coelho,SUDESTE,67,Idoso
10091613918,Júlia Santos,SUDESTE,39,Adulto
10096377870,André Freitas,SUDESTE,49,Adulto
10100115772,Bruno Ribeiro,NORDESTE,28,Jovem
10111688284,Vitória Xavier,SUDESTE,49,Adulto
10111923439,Flávia Pires,SUDESTE,28,Jovem
10114800395,Adriana Novaes,SUL,30,Adulto
10122854056,Camila Rocha,SUDESTE,59,Adulto
10134395078,Joana Guimarães,SUL,49,Adulto
10135357340,Estela Andrade,NORTE,29,Jovem
10138997702,Clara Tavares,SUL,50,Adulto
10139102305,Vitória Bonfim,NORDESTE,41,Adulto
10141774806,Simone Ribeiro,SUDESTE,29,Jovem
10159981064,André Carvalho,SUDESTE,37,Adulto
10161354878,Carla Araújo,SUDESTE,29,Jovem
10161870861,Clara Siqueira,SUDESTE,20,Jovem
10173660878,Antônio Araújo,SUDESTE,56,Adulto
10190630255,Elaine Prado,SUDESTE,28,Jovem
10197762110,Helena Toledo,SUDESTE,37,Adulto
10197988526,Daniela Amorim,SUL,22,Jovem
10199326242,Cristiano Sant’anna,SUL,29,Jovem
10200949628,Breno Guimarães,SUL,42,Adulto
10201200659,Amanda Santana,SUDESTE,34,Adulto
10208753075,Cristiano Batista,SUDESTE,39,Adulto
10217395568,Enzo Dias,SUL,32,Adulto
10222461608,Enzo Silveira,NORDESTE,40,Adulto
10230231048,Isabela Prado,SUDESTE,68,Idoso
10237602015,Elisa Silveira,SUDESTE,53,Adulto
10241896738,Arthur Barbosa,SUDESTE,54,Adulto
10242695134,Clara Pontes,NORTE,22,Jovem
10245460381,Flávia Bezerra,CENTRO-OESTE,25,Jovem
10246168688,Mariana Pontes,NORDESTE,68,Idoso
10251175087,Júlia Amorim,SUDESTE,59,Adulto
10256074864,Gabriela Macedo,NORTE,28,Jovem
10263778274,Lucas Nunes,NORDESTE,31,Adulto
10269411022,Augusto Brito,NORDESTE,47,Adulto
10272300804,Elaine Rezende,NORTE,33,Adulto
10276693696,Karina Almeida,SUDESTE,22,Jovem
10283144074,Rafael Batista,SUDESTE,39,Adulto
10286568818,Caíque Rezende,SUDESTE,39,Adulto
10296408886,Thiago Prado,SUDESTE,39,Adulto
10298341599,Renato Maia,SUDESTE,30,Adulto
10302771019,Bianca Santos,CENTRO-OESTE,22,Jovem
10312724526,Bruno Rodrigues,SUDESTE,43,Adulto
10319394408,Cecília Reis,NORTE,21,Jovem
10320757642,Sofia Silveira,SUDESTE,38,Adulto
10342797913,Karina Prado,NORDESTE,47,Adulto
10349268807,Gustavo Amorim,NORTE,52,Adulto
10350966116,Beatriz Santos,NORDESTE,51,Adulto
10353351612,Elis Figueiredo,CENTRO-OESTE,57,Adulto
10364987760,Carla Dutra,SUDESTE,28,Jovem
10377295889,Estela Barreto,NORTE,40,Adulto
10380516263,Gabriela Moura,SUL,27,Jovem
10381593210,Erick Xavier,NORDESTE,43,Adulto
10384976186,Larissa Freitas,SUDESTE,32,Adulto
10388226537,Bianca Freitas,CENTRO-OESTE,30,Adulto
10389677187,Antônio Campos,SUDESTE,62,Idoso
10393685180,Breno Nunes,SUDESTE,59,Adulto
10394267007,Renato Fernandes,NORDESTE,38,Adulto
10395164501,Eduarda Monteiro,NORTE,30,Adulto
10402089663,Fernando Pires,SUDESTE,41,Adulto
10406457080,Igor Fonseca,NORTE,38,Adulto
10407896480,Débora Rocha,SUDESTE,60,Adulto
10408329414,Karina Xavier,NORDESTE,63,Idoso
10408354807,Bruno Cunha,CENTRO-OESTE,28,Jovem
10409247699,Fabiana Guimarães,NORDESTE,42,Adulto
10414596417,Elisa Figueiredo,NORDESTE,28,Jovem
10420176849,Eduarda Rezende,SUDESTE,20,Jovem
10421100952,Clara Albuquerque,NORTE,41,Adulto
10430644106,Caíque Reis,SUDESTE,22,Jovem
10434992156,Vinícius Moraes,NORDESTE,39,Adulto
10439267064,Antônio Figueiredo,SUL,30,Adulto
10458003955,Matheus Toledo,SUL,73,Idoso
10460852768,Jonathan Freitas,SUDESTE,23,Jovem
10466607903,Igor Rangel,NORDESTE,31,Adulto
10473638918,Clara Tavares,NORDESTE,37,Adulto
10481418414,Eduarda Freitas,NORDESTE,48,Adulto
10481821533,Elisa Rocha,SUDESTE,50,Adulto
10486658115,Caíque Costa,SUDESTE,61,Idoso
10487264115,Júlia Mendes,NORDESTE,26,Jovem
10487690190,Camila Figueiredo,SUDESTE,21,Jovem
10495759060,Bárbara Maia,NORTE,68,Idoso
10496350495,Alice Toledo,SUDESTE,71,Idoso
10496444644,Simone Dutra,SUDESTE,50,Adulto
10497043247,Elisa Barros,NORDESTE,31,Adulto
10512806108,Bárbara Aguiar,SUL,47,Adulto
10516829919,Bruno Antunes,SUL,49,Adulto
10520246398,Alice Bonfim,SUDESTE,19,Jovem
10527487657,Rafael Moura,NORDESTE,22,Jovem
10556104714,Augusto Gomes,SUL,57,Adulto
10569168931,Tatiana Andrade,CENTRO-OESTE,75,Idoso
10572563758,Matheus Campos,NORDESTE,50,Adulto
10575500753,Estela Reis,NORDESTE,49,Adulto
10585423072,Sofia Martins,SUDESTE,40,Adulto
10586847468,Gustavo Silveira,NORDESTE,21,Jovem
10587893323,Larissa Ribeiro,NORDESTE,31,Adulto
10598053654,Isabela Carvalho,NORDESTE,26,Jovem
10602568204,João Moreira,NORDESTE,41,Adulto
10603255078,Enzo Ribeiro,SUDESTE,21,Jovem
10619930545,Rafael Reis,SUDESTE,49,Adulto
10620758466,João Souza,SUDESTE,28,Jovem
10628866055,Tatiana Cavalcante,SUDESTE,20,Jovem
10631268898,Heitor Barreto,SUDESTE,69,Idoso
10637932960,Evelin Rodrigues,NORDESTE,30,Adulto
10672110879,Erick Sales,SUL,39,Adulto
10673445840,Enzo Maia,SUDESTE,38,Adulto
10686455708,Fábio Almeida,NORDESTE,50,Adulto
10688365371,Débora Bonfim,SUDESTE,51,Adulto
10695464918,Mariana Sant’anna,NORDESTE,60,Adulto
10706736409,Igor Maia,SUDESTE,38,Adulto
10720036204,José Maia,CENTRO-OESTE,32,Adulto
10723236967,Sofia Novaes,SUDESTE,38,Adulto
10723536025,Henrique Rocha,SUDESTE,39,Adulto
10745545723,Alessandra Santos,SUDESTE,21,Jovem
10748457796,Yasmin Costa,SUDESTE,49,Adulto
10749853874,Jonathan Dias,NORDESTE,20,Jovem
10751866768,Fábio Mendes,NORDESTE,42,Adulto
10758262891,Felipe Rodrigues,SUDESTE,39,Adulto
10759242763,Breno Brito,SUDESTE,37,Adulto
10769552786,Caio Bonfim,SUDESTE,31,Adulto
10771022155,Rafael Xavier,NORDESTE,41,Adulto
10774684069,Helena Gomes,SUDESTE,44,Adulto
10780801181,Heitor Assis,SUDESTE,19,Jovem
10785328273,Caíque Nunes,SUDESTE,28,Jovem
10787221643,Caíque Freitas,SUDESTE,52,Adulto
10789862181,José Reis,CENTRO-OESTE,73,Idoso
10797413861,Patrícia Azevedo,SUDESTE,23,Jovem
10798143757,André Santos,NORDESTE,59,Adulto
10800981949,Beatriz Barros,SUDESTE,58,Adulto
10803516620,Mariana Rocha,SUDESTE,59,Adulto
10806592607,Elisa Cavalcante,CENTRO-OESTE,28,Jovem
10811483614,Tatiana Guimarães,NORDESTE,49,Adulto
10812076478,Elisa Maia,SUDESTE,37,Adulto
10813005727,Fábio Almeida,SUDESTE,46,Adulto
10814946928,Natalia Paiva,SUDESTE,40,Adulto
10815322604,Renato Correia,SUL,59,Adulto
10815480627,Rodrigo Batista,SUL,50,Adulto
10820585083,Rodrigo Brito,SUDESTE,39,Adulto
10820838649,Elaine Andrade,SUDESTE,31,Adulto
10830650296,Diogo Rezende,SUDESTE,19,Jovem
10837707666,Isabela Azevedo,SUL,60,Adulto
10840516194,Arthur Siqueira,SUDESTE,41,Adulto
10841653969,Fabiana Pereira,NORDESTE,46,Adulto
10848818923,Estela Xavier,NORTE,57,Adulto
10850151287,Felipe Gomes,SUL,48,Adulto
10857643736,Sofia Lima,SUL,72,Idoso
10861241217,Elis Campos,SUDESTE,23,Jovem
10863030247,Yasmin Cunha,SUDESTE,62,Idoso
10868181692,Enzo Freitas,SUL,40,Adulto
10870419962,Flávia Coelho,SUDESTE,50,Adulto
10878545525,Enzo Andrade,SUDESTE,29,Jovem
10892159402,Clara Fernandes,NORTE,27,Jovem
10893454418,Flávia Azevedo,NORTE,20,Jovem
10898311551,Breno Nunes,NORDESTE,29,Jovem
10903894288,Helena Rangel,NORTE,30,Adulto
10916245933,Evelin Pinheiro,SUDESTE,59,Adulto
10932087206,Cecília Rezende,SUL,38,Adulto
10940092212,Caio Xavier,CENTRO-OESTE,40,Adulto
10943132051,Elaine Toledo,SUDESTE,57,Adulto
10943815567,Yasmin Dutra,SUDESTE,37,Adulto
10951298296,Cecília Cavalcante,NORDESTE,70,Idoso
10959307271,Augusto Dias,NORDESTE,31,Adulto
10964052114,Felipe Reis,SUDESTE,20,Jovem
10986327827,Felipe Silveira,NORDESTE,22,Jovem
10990997509,Rodrigo Santana,SUDESTE,60,Adulto
10991339195,Camila Assis,NORDESTE,22,Jovem
10993718810,Otávio Reis,NORDESTE,22,Jovem
10994896005,André Silva,SUDESTE,19,Jovem
10999889345,Larissa Sant’anna,SUDESTE,56,Adulto
11000904974,Cristiano Pires,SUDESTE,61,Idoso
11004055503,Bárbara Tavares,SUL,42,Adulto
11005162397,Evelin Campos,NORDESTE,34,Adulto
11005223567,Cecília Bezerra,SUDESTE,18,Jovem
11007991905,Natalia Coelho,CENTRO-OESTE,59,Adulto
11009757270,Karina Barros,NORDESTE,21,Jovem
11012457901,Diogo Antunes,NORDESTE,36,Adulto
11012806110,João Pontes,NORDESTE,39,Adulto
11018616659,Isabela Rocha,NORTE,37,Adulto
11026820083,Eduarda Santos,NORDESTE,30,Adulto
11032628240,Yasmin Martins,SUDESTE,20,Jovem
11035536531,Carla Bezerra,NORDESTE,19,Jovem
11040437774,Flávia Queiroz,NORDESTE,38,Adulto
11042369366,Felipe Figueiredo,SUDESTE,61,Idoso
11057943545,Diego Figueiredo,NORDESTE,26,Jovem
11067801912,Elaine Pereira,CENTRO-OESTE,22,Jovem
11072819260,Fábio Gomes,SUDESTE,31,Adulto
11074958305,Daniela Nunes,CENTRO-OESTE,21,Jovem
11078306289,Karina Moreira,NORDESTE,29,Jovem
11079423900,Renato Figueiredo,SUL,53,Adulto
11086128573,Karina Costa,SUDESTE,24,Jovem
11089757512,Simone Rangel,SUDESTE,50,Adulto
11095093938,Isabela Cunha,NORDESTE,36,Adulto
11096367470,Elis Rocha,SUDESTE,29,Jovem
11097284627,Gabriela Xavier,NORDESTE,38,Adulto
11098404310,Mariana Cunha,SUDESTE,49,Adulto
11099357223,Bianca Reis,SUDESTE,72,Idoso
11100770534,Elis Rodrigues,CENTRO-OESTE,19,Jovem
11106911959,João Guimarães,NORDESTE,40,Adulto
11108069749,Bianca Nunes,SUDESTE,22,Jovem
11115333068,Rafael Monteiro,SUDESTE,53,Adulto
11122268472,Igor Albuquerque,NORDESTE,29,Jovem
11124216668,Camila Pontes,SUDESTE,30,Adulto
11126161432,Fabiana Moura,NORTE,49,Adulto
11126538583,Clara Moraes,SUDESTE,18,Jovem
11136425680,Erick Barbosa,CENTRO-OESTE,68,Idoso
11146361683,Karina Queiroz,NORDESTE,25,Jovem
11147791146,Natalia Antunes,CENTRO-OESTE,60,Adulto
11153812265,Enzo Assis,NORDESTE,41,Adulto
11162007926,Heitor Toledo,SUDESTE,75,Idoso
11165333362,Flávia Ribeiro,SUDESTE,40,Adulto
11182024335,Rodrigo Lima,NORDESTE,19,Jovem
11185066943,Beatriz Aguiar,NORDESTE,41,Adulto
11188722637,Lucas Moura,CENTRO-OESTE,26,Jovem
11189920038,Vitória Fernandes,NORDESTE,28,Jovem
11198819948,Fernando Amorim,CENTRO-OESTE,61,Idoso
11207144721,Fernando Rodrigues,SUDESTE,38,Adulto
11207710387,Enzo Araújo,SUDESTE,57,Adulto
11210283541,Flávia Moreira,NORDESTE,59,Adulto
11210596426,Igor Aguiar,NORDESTE,47,Adulto
11217458173,Júlia Barreto,NORDESTE,50,Adulto
11219417679,José Toledo,SUDESTE,29,Jovem
11219789373,Joana Queiroz,SUDESTE,29,Jovem
11220064734,Carla Monteiro,SUDESTE,39,Adulto
11220685859,Bruno Dias,SUDESTE,60,Adulto
11227907934,Diogo Tavares,SUL,70,Idoso
11231316662,Adriana Sant’anna,NORDESTE,41,Adulto
11239279189,Enzo Oliveira,SUDESTE,34,Adulto
11240085734,Evelin Teixeira,NORTE,50,Adulto
11242144476,Antônio Bonfim,NORDESTE,41,Adulto
11251235025,Yasmin Siqueira,SUDESTE,32,Adulto
11255843756,Elisa Cunha,CENTRO-OESTE,42,Adulto
11257358518,Rodrigo Rocha,SUL,33,Adulto
11257839626,Diogo Teixeira,SUL,52,Adulto
11264374703,Simone Peixoto,NORTE,42,Adulto
11265269543,Helena Andrade,SUDESTE,47,Adulto
11266082331,Thiago Freitas,NORTE,58,Adulto
11270544695,Beatriz Moraes,SUL,26,Jovem
11287742886,Sofia Tavares,NORDESTE,58,Adulto
11291638666,Elis Barros,NORDESTE,26,Jovem
11302071508,Sofia Moraes,CENTRO-OESTE,39,Adulto
11302890029,Cecília Figueiredo,SUL,27,Jovem
11315753971,Alessandra Correia,NORDESTE,51,Adulto
11321743310,Simone Bezerra,NORTE,27,Jovem
11322766186,Elaine Tavares,SUDESTE,20,Jovem
11327298365,Helena Queiroz,SUDESTE,28,Jovem
11329811020,Alice Correia,NORDESTE,20,Jovem
11339336153,Letícia Dutra,CENTRO-OESTE,57,Adulto
11350672295,Eduarda Sales,SUDESTE,70,Idoso
11361189415,Letícia Campos,NORDESTE,28,Jovem
11378595087,Clara Andrade,SUDESTE,40,Adulto
11379888292,Arthur Teixeira,CENTRO-OESTE,28,Jovem
11381498382,Alessandra Cunha,NORDESTE,35,Adulto
11387670645,Júlia Tavares,SUDESTE,42,Adulto
11407261616,Vinícius Santos,SUL,26,Jovem
11412105212,Yasmin Cavalcante,SUDESTE,67,Idoso
11428759773,Elisa Lima,CENTRO-OESTE,31,Adulto
11430934216,Natalia Moura,SUDESTE,39,Adulto
11439732710,Adriana Cardoso,SUDESTE,29,Jovem
11444405969,Natalia Sales,SUL,48,Adulto
11451672154,Augusto Reis,SUL,50,Adulto
11455448004,Yasmin Gomes,NORDESTE,38,Adulto
11456847021,Camila Barros,NORDESTE,30,Adulto
11461373586,Rafael Dutra,SUDESTE,19,Jovem
11467220012,Ana Aguiar,SUL,21,Jovem
11472896100,Felipe Correia,CENTRO-OESTE,45,Adulto
11480909571,Caíque Xavier,NORDESTE,57,Adulto
11483540329,Natalia Rodrigues,NORDESTE,58,Adulto
11484826194,Thiago Dutra,CENTRO-OESTE,18,Jovem
11485414881,Elisa Moreira,SUDESTE,20,Jovem
11501907602,Rafael Barbosa,SUDESTE,31,Adulto
11514454900,Enzo Dutra,NORDESTE,63,Idoso
11525134314,Diogo Rodrigues,SUL,40,Adulto
11528201285,Vinícius Novaes,SUL,24,Jovem
11544008677,Bianca Freitas,SUDESTE,20,Jovem
11548424988,Vinícius Cunha,SUL,48,Adulto
11551202169,Amanda Cardoso,SUDESTE,34,Adulto
11563173847,Jonathan Correia,SUDESTE,42,Adulto
11569578125,Augusto Araújo,SUDESTE,29,Jovem
11573951538,Carla Queiroz,SUDESTE,26,Jovem
11575494788,Caio Peixoto,SUDESTE,35,Adulto
11576127060,Vitória Silva,SUDESTE,21,Jovem
